id,title,region_id,address,serial_number,email,owner,ownership_type,phone,place_type,created_at,updated_at,type_id,msisdn,is_user_submitted,latitude,longitude,alternative_names,status,hmis,remarks,registration_num,source,current_id
19752,Dr. Atman,25672,,5376,,RC,FBO,,,2013-01-24 00:34:14.13724+00,2013-01-24 00:34:14.137282+00,18,,f,-7.95522,31.63451,"",Operating,1504003,Designated District Hospital,"","",1504004
19753,Dr. Mzava,25672,,5377,,Private,Private,,,2013-01-24 00:34:14.170786+00,2013-01-24 00:34:14.170834+00,16,,f,-7.95896,31.61509,"",Operating,1504023,"","","",1504005
19754,Fatsma,25672,,5408,,Private,Private,,,2013-01-24 00:34:14.203545+00,2013-01-24 00:34:14.203588+00,16,,f,,,"",Closed,"","","","",1504042
19755,Fyengelezya,25674,,5409,,TASAF,Government,,,2013-01-24 00:34:14.237722+00,2013-01-24 00:34:14.237778+00,16,,f,,,"",Under Construction,"","","","",1504043
19756,Isesa,25676,,5378,,LGA,Government,,,2013-01-24 00:34:14.275472+00,2013-01-24 00:34:14.275519+00,16,,f,-8.01691,31.67672,"",Operating,1504021,"","","",1504006
19757,Kankwale,25678,,5410,,TASAF,Government,,,2013-01-24 00:34:14.312041+00,2013-01-24 00:34:14.312091+00,16,,f,,,"",Under Construction,"","","","",1504044
19758,Kanondo,25679,,5411,,TASAF,Government,,,2013-01-24 00:34:14.344861+00,2013-01-24 00:34:14.344911+00,16,,f,,,"",Under Construction,"","","","",1504045
19759,Kasema A,25672,,5379,,Private,Private,,,2013-01-24 00:34:14.379753+00,2013-01-24 00:34:14.379797+00,16,,f,,,"",Operating,1504017,"","","",1504008
19760,Kasense,25680,,5380,,LGA,Government,,,2013-01-24 00:34:14.414684+00,2013-01-24 00:34:14.414734+00,16,,f,-7.97996,31.50492,"",Operating,150004,"","","",1504009
19761,Katandala HC,25672,,5381,,RC,FBO,,,2013-01-24 00:34:14.445897+00,2013-01-24 00:34:14.445976+00,17,,f,-7.95142,31.62082,"",Operating,1504018,"","","",1504010
19762,Katumba Azimio,25682,,5412,,LGA,Government,,,2013-01-24 00:34:14.481924+00,2013-01-24 00:34:14.481987+00,16,,f,,,"",Under Construction,"","","","",1504046
19763,Kilimahewa,25684,,5413,,TASAF,Government,,,2013-01-24 00:34:14.514299+00,2013-01-24 00:34:14.514348+00,16,,f,,,"",Under Construction,"","","","",1504047
19764,Kilimani,25686,,5414,,Private,Private,,,2013-01-24 00:34:14.550153+00,2013-01-24 00:34:14.550206+00,16,,f,,,"",Operating,"","","","",1504048
19765,King'ombe,25688,,5382,,LGA,Government,,,2013-01-24 00:34:14.583383+00,2013-01-24 00:34:14.583432+00,16,,f,-7.96957,31.66576,"",Operating,1504026,"","","",1504014
19766,Kisumba,25689,,5383,,LGA,Government,,,2013-01-24 00:34:14.615543+00,2013-01-24 00:34:14.615592+00,16,,f,-8.05195,31.50379,"",Operating,1504005,"","","",1504015
19767,Kizwite,25686,,5384,,LGA,Government,,,2013-01-24 00:34:14.648907+00,2013-01-24 00:34:14.64895+00,16,,f,-7.97901,31.628,"",Operating,1504007,"","","",1504016
