id,title,type_id,parent_region_id,created_at,updated_at
22909,Nsimbo,4,22888,2013-01-24 00:29:23.842344+00,2013-01-24 00:29:23.842391+00
22910,Itenka,6,22909,2013-01-24 00:29:23.848436+00,2013-01-24 00:29:23.848481+00
22911,"Itenka ""A""",5,22910,2013-01-24 00:29:23.926737+00,2013-01-24 00:29:23.926816+00
22912,Kabungu,6,22889,2013-01-24 00:29:24.099496+00,2013-01-24 00:29:24.099542+00
22913,Kabungu,5,22912,2013-01-24 00:29:24.178121+00,2013-01-24 00:29:24.178179+00
22914,Kaburonge A,5,22899,2013-01-24 00:29:24.342977+00,2013-01-24 00:29:24.415561+00
22915,Kakese,5,22912,2013-01-24 00:29:24.582764+00,2013-01-24 00:29:24.58281+00
22916,Kalilankulukulu,5,22912,2013-01-24 00:29:24.834258+00,2013-01-24 00:29:24.834303+00
22917,Kalungu,5,22899,2013-01-24 00:29:25.109899+00,2013-01-24 00:29:25.109945+00
22918,Kaminula,5,22899,2013-01-24 00:29:25.51867+00,2013-01-24 00:29:25.518722+00
22919,Kanoge A,5,22899,2013-01-24 00:29:25.758326+00,2013-01-24 00:29:25.758383+00
22920,Kapalamsenga,6,22895,2013-01-24 00:29:25.993397+00,2013-01-24 00:29:25.993452+00
22921,Kapalamsenga,5,22920,2013-01-24 00:29:26.060178+00,2013-01-24 00:29:26.06024+00
22922,Karema,6,22895,2013-01-24 00:29:26.244881+00,2013-01-24 00:29:26.244928+00
22923,Karema,5,22922,2013-01-24 00:29:26.250721+00,2013-01-24 00:29:26.250785+00
22924,Mamba,4,22888,2013-01-24 00:29:26.671045+00,2013-01-24 00:29:26.671094+00
22925,Kasansa,6,22924,2013-01-24 00:29:26.737379+00,2013-01-24 00:29:26.737436+00
22926,Kasansa,5,22925,2013-01-24 00:29:26.742891+00,2013-01-24 00:29:26.74294+00
22927,Kasokola,6,22909,2013-01-24 00:29:26.969844+00,2013-01-24 00:29:26.969911+00
22928,Kasokola,5,22927,2013-01-24 00:29:27.061241+00,2013-01-24 00:29:27.061298+00
22929,Mwese,4,22888,2013-01-24 00:29:27.217578+00,2013-01-24 00:29:27.217634+00
22930,Katuma,6,22929,2013-01-24 00:29:27.222492+00,2013-01-24 00:29:27.222548+00
22931,Katuma,5,22930,2013-01-24 00:29:27.300526+00,2013-01-24 00:29:27.300591+00
22932,Katumba,5,22899,2013-01-24 00:29:27.550083+00,2013-01-24 00:29:27.55013+00
22933,Kibaoni,6,22892,2013-01-24 00:29:27.735794+00,2013-01-24 00:29:27.73584+00
22934,Kibaoni,5,22933,2013-01-24 00:29:27.81419+00,2013-01-24 00:29:27.814252+00
22935,Mpandandogo,6,22889,2013-01-24 00:29:27.98819+00,2013-01-24 00:29:27.988237+00
22936,Ifukutwa,5,22935,2013-01-24 00:29:28.06721+00,2013-01-24 00:29:28.067273+00
22937,Magamba,6,22909,2013-01-24 00:29:28.240359+00,2013-01-24 00:29:28.240422+00
22938,Magamba,5,22937,2013-01-24 00:29:28.319106+00,2013-01-24 00:29:28.319163+00
22939,Majalila,5,22935,2013-01-24 00:29:28.582157+00,2013-01-24 00:29:28.582205+00
22940,Mamba,6,22924,2013-01-24 00:29:28.744022+00,2013-01-24 00:29:28.744078+00
22941,Mamba,5,22940,2013-01-24 00:29:28.821947+00,2013-01-24 00:29:28.822023+00
22942,Mbede,5,22893,2013-01-24 00:29:28.997751+00,2013-01-24 00:29:28.997814+00
22943,Majimoto,6,22924,2013-01-24 00:29:29.257384+00,2013-01-24 00:29:29.257431+00
22944,Majimoto,5,22943,2013-01-24 00:29:29.33615+00,2013-01-24 00:29:29.336211+00
22945,Milala,5,22912,2013-01-24 00:29:29.525014+00,2013-01-24 00:29:29.52506+00
22946,Mirumba,5,22933,2013-01-24 00:29:30.025622+00,2013-01-24 00:29:30.025683+00
22947,Mishamo,5,22890,2013-01-24 00:29:30.276885+00,2013-01-24 00:29:30.276932+00
22948,Kahaulili,4,22888,2013-01-24 00:29:30.443412+00,2013-01-24 00:29:30.443469+00
22949,Kawajense,6,22948,2013-01-24 00:29:30.448148+00,2013-01-24 00:29:30.4482+00
22950,Kawajense,5,22949,2013-01-24 00:29:30.526292+00,2013-01-24 00:29:30.526343+00
22951,Nsimbo,6,22909,2013-01-24 00:29:30.70142+00,2013-01-24 00:29:30.701559+00
22952,Msaginya,5,22951,2013-01-24 00:29:30.767462+00,2013-01-24 00:29:30.767506+00
22953,Mtambo,5,22899,2013-01-24 00:29:31.028919+00,2013-01-24 00:29:31.028969+00
22954,Mwese,6,22929,2013-01-24 00:29:31.367779+00,2013-01-24 00:29:31.367839+00
22955,Mwese,5,22954,2013-01-24 00:29:31.425016+00,2013-01-24 00:29:31.425062+00
22956,Songambele,5,22951,2013-01-24 00:29:31.701316+00,2013-01-24 00:29:31.701378+00
22957,Nzaga,5,22899,2013-01-24 00:29:31.866423+00,2013-01-24 00:29:31.866479+00
22958,Sibwesa,6,22929,2013-01-24 00:29:32.102517+00,2013-01-24 00:29:32.102575+00
22959,Sibwesa,5,22958,2013-01-24 00:29:32.108302+00,2013-01-24 00:29:32.10835+00
22960,Machimboni,6,22909,2013-01-24 00:29:32.355416+00,2013-01-24 00:29:32.355463+00
22961,Sitalike,5,22960,2013-01-24 00:29:32.421107+00,2013-01-24 00:29:32.421155+00
22962,Urwila,6,22898,2013-01-24 00:29:32.582857+00,2013-01-24 00:29:32.582912+00
22963,Ugala,6,22898,2013-01-24 00:29:32.817336+00,2013-01-24 00:29:32.817383+00
22964,Ugala,5,22963,2013-01-24 00:29:32.823269+00,2013-01-24 00:29:32.823325+00
22965,Urwila,5,22962,2013-01-24 00:29:33.08708+00,2013-01-24 00:29:33.087137+00
